Date,GDP_USD_Millions,Population,Vibranium_Production_Tons,Tourism_Visitors,Education_Expenditure_USD_Millions,Healthcare_Expenditure_USD_Millions,Military_Expenditure_USD_Millions,Technology_Investment_USD_Millions,Energy_Production_Megawatts,Unemployment_Rate,Poverty_Rate
2024-12-18 14:37:05.605710,136510,38517626,199,855745,2580,5033,11049,10871,37470,0.03774811791825359,0.07267418304213374
2024-12-17 14:37:05.605710,68100,43506323,105,921601,3145,4384,9341,14639,25118,0.02676502080649181,0.03704102989723704
2024-12-16 14:37:05.605710,123360,46353589,132,1246806,4669,5868,11318,15987,35323,0.014574154577242867,0.054418202747306924
2024-12-15 14:37:05.605710,102117,32331037,200,726523,4368,6592,9417,12475,28224,0.040777368175648226,0.043099354104542416
2024-12-14 14:37:05.605710,127185,39730142,169,1467928,4782,6642,11490,16099,36934,0.046895191362578734,0.029869663341422464
2024-12-13 14:37:05.605710,130262,38480713,456,1001458,2589,4142,9820,12969,38287,0.01425850383161574,0.05110373034450236
2024-12-12 14:37:05.605710,80633,43513925,436,1988271,3278,5390,8683,15433,39787,0.04144176599489733,0.03270666801759608
2024-12-11 14:37:05.605710,91723,30103395,264,829352,4284,5100,11591,10478,20531,0.04174922476558526,0.06861945405448158
2024-12-10 14:37:05.605710,141301,30816954,414,728072,2078,3034,9720,10584,32997,0.034865537979448025,0.06469123890938497
2024-12-09 14:37:05.605710,53718,48124516,346,1741870,2847,5583,11016,14103,24769,0.04736495443310555,0.05530485506447927
2024-12-08 14:37:05.605710,68047,30340848,125,1914071,3793,4296,11164,17739,30984,0.042664366104613126,0.04195903417064186
2024-12-07 14:37:05.605710,144087,37564277,170,695231,4395,4090,10980,14725,30412,0.03728817655149817,0.058671226682829536
2024-12-06 14:37:05.605710,69487,36170662,120,1580317,4390,5617,10059,11437,30271,0.023192856716324362,0.062411732573750364
2024-12-05 14:37:05.605710,63859,30568614,156,1328408,3518,3309,11573,19265,39439,0.0429669507461839,0.06350920155522799
2024-12-04 14:37:05.605710,72238,41944357,419,652845,2298,6913,8348,17735,28287,0.019663742598011038,0.0682841141211434
2024-12-03 14:37:05.605710,51108,45375605,429,1689700,3390,4895,10647,12571,30177,0.015178410968129014,0.06122572682356241
2024-12-02 14:37:05.605710,86126,49480990,344,1286412,2902,6654,11606,18866,38222,0.0385619175144421,0.027793449674201203
2024-12-01 14:37:05.605710,104582,43997744,415,1654363,4153,3118,10424,17318,25813,0.03359334390562111,0.03221085546394801
2024-11-30 14:37:05.605710,105991,40812777,494,1162272,3948,3748,10819,16731,26592,0.02300321667384149,0.06427220121601203
2024-11-29 14:37:05.605710,144006,35180757,343,1816299,2636,4470,10939,16259,32019,0.03969143835817112,0.05695068290155628
2024-11-28 14:37:05.605710,134044,36118166,204,1648649,3849,6031,11911,18316,38869,0.03897900586756696,0.03872822465809318
2024-11-27 14:37:05.605710,53466,36050047,289,1647663,3603,3507,9203,18545,24320,0.030022705731155952,0.05223118079900936
2024-11-26 14:37:05.605710,144852,49043346,320,627790,3331,3170,9787,15604,38826,0.01917686284103307,0.0234722648205826
2024-11-25 14:37:05.605710,124590,49313275,145,1174412,2748,5335,9632,13895,35494,0.03597514838323807,0.06182240634834847
2024-11-24 14:37:05.605710,114590,39990159,372,1744564,2732,6957,10285,14410,26995,0.02227978034610737,0.04558055102171802
2024-11-23 14:37:05.605710,73484,45161781,170,923677,3549,3587,9105,17887,32477,0.0375073607659789,0.061295951478960706
2024-11-22 14:37:05.605710,125960,46322173,337,614121,2844,3572,8389,19341,39084,0.01870985059862315,0.07889124677021056
2024-11-21 14:37:05.605710,52442,46756337,181,1601852,2957,3159,11955,18261,28156,0.0285757015609149,0.07312045169319799
2024-11-20 14:37:05.605710,114762,37912394,118,1181136,4456,4623,8957,15143,20765,0.03108534415634555,0.07363721233584328
2024-11-19 14:37:05.605710,130959,31203514,362,1532240,2158,3895,10812,18968,35621,0.01565717566355286,0.027027088501391246
2024-11-18 14:37:05.605710,70739,48737735,281,1586176,4785,3492,9722,16456,22958,0.017926969499773154,0.04916973619466575
2024-11-17 14:37:05.605710,107986,32575817,397,1194908,2418,3984,11892,17415,36577,0.04546419627230881,0.06647376542609422
2024-11-16 14:37:05.605710,90747,40969614,233,825773,4662,5323,9700,13819,30146,0.046684938112308796,0.07563277304272283
2024-11-15 14:37:05.605710,65035,48414721,330,1159774,3342,4342,10020,11289,30086,0.024907826312884282,0.02943884873067266
2024-11-14 14:37:05.605710,137083,49789256,190,1619699,4120,6014,11336,10660,30959,0.011710735622740054,0.06279245722252562
2024-11-13 14:37:05.605710,85232,43831770,492,1062426,3912,5133,8523,16327,20894,0.04759430105255377,0.06472266344496515
2024-11-12 14:37:05.605710,52093,38415115,244,803394,3044,4968,8262,11207,29747,0.010555827952217411,0.07960186621475439
2024-11-11 14:37:05.605710,149225,42133984,266,733182,4570,4267,9421,11604,33426,0.025697295687693564,0.05830905762033471
2024-11-10 14:37:05.605710,106600,31095272,308,937144,2266,4517,11710,14309,36841,0.03092926752427528,0.06941732317887708
2024-11-09 14:37:05.605710,149131,47868262,314,1377216,4963,5003,10284,14555,36414,0.04515044902431004,0.06051174421096295
2024-11-08 14:37:05.605710,135126,45916585,256,799161,2033,3049,10257,14506,38318,0.023590750524961353,0.07631931642432885
2024-11-07 14:37:05.605710,127795,35343339,140,1684739,2372,6493,8464,17226,39672,0.013535458682853961,0.07293990084963196
2024-11-06 14:37:05.605710,148447,45888897,415,1848285,2192,3598,9469,16865,20484,0.03471380845604276,0.06671538788489992
